event_title,Count
WRECKED,48
FIST,25
BOUND BLACKOUT,18
ALTÆR,16
BALANCE,13
X-TRA.SERVICES,8
HERRENSAUNA,6
THE BUNKER,3
PORNCEPTUAL,3
MORD NIGHT,3
MALA JUNTA,3
BASEMENT ANNIVERSARY,3
aufnahme + wiedergabe,3
UNITED WE STREAM,2
QUO VADIS,2
L.I.E.S. NIGHT,2
FAST FORWARD NIGHT,2
DWELLER,2
BITE NITE,2
BASSIANI NIGHT,2
VESELKA,1
STAUB,1
SPANDAU20 NIGHT,1
SONIC GROOVE NIGHT,1
rural,1
RECLAIM YOUR CITY,1
POSSESSION,1
POLEGROUP,1
New York Trax x Voitax,1
MUTUAL RYTM NIGHT,1
MAMA TOLD YA,1
Function Album Tour,1
Function,1
FOURTH WORLD,1
EXALT,1
Cxema Backstage,1
BCCO,1
Basement: Talks #1,1